gameId,participantId,summonerName
2677225,1,JDG 369
2677225,2,JDG Kanavi
2677225,3,JDG knight
2677225,4,JDG Ruler
2677225,5,JDG MISSING
2677225,6,BLG Bin
2677225,7,BLG XUN
2677225,8,BLG Yagao
2677225,9,BLG Elk
2677225,10,BLG ON
2677229,1,BLG Bin
2677229,2,BLG XUN
2677229,3,BLG Yagao
2677229,4,BLG Elk
2677229,5,BLG ON
2677229,6,JDG 369
2677229,7,JDG Kanavi
2677229,8,JDG knight
2677229,9,JDG Ruler
2677229,10,JDG MISSING
2677230,1,JDG 369
2677230,2,JDG Kanavi
2677230,3,JDG knight
2677230,4,JDG Ruler
2677230,5,JDG MISSING
2677230,6,BLG Bin
2677230,7,BLG XUN
2677230,8,BLG Yagao
2677230,9,BLG Elk
2677230,10,BLG ON
2677232,1,BLG Bin
2677232,2,BLG XUN
2677232,3,BLG Yagao
2677232,4,BLG Elk
2677232,5,BLG ON
2677232,6,JDG 369
2677232,7,JDG Kanavi
2677232,8,JDG knight
2677232,9,JDG Ruler
2677232,10,JDG MISSING
